id,type,name,statement,component,verification,evidence,status,notes
FR-01,FR,Sterowanie wysyłaniem,System MUSI pozwalać operatorowi uruchomić bieg z dashboardu podając tematy; czas lub liczbę wiadomości; tempo na inwokację i liczbę równoległych inwokacji funkcji.,RunController; FunctionClient; dashboard-front/control.js,e2e,results/E1;results/E4;results/E2 (run.json z parametrami),done,Bieg = fan-out P równoległych wywołań HTTP do Cloud Functions.
FR-02,FR,Pomiar opóźnienia ACK,Producent MUSI mierzyć opóźnienie potwierdzenia każdego rekordu (send -> callback) i publikować co 1 s histogram HDR do tematu sterującego.,LoadRun; AckReporter (funkcja),unit;e2e,ReportSerializationTest; ack.json w każdym biegu,done,Histogramy scalane dokładnie (HdrHistogram.add) w AckAggregator.
FR-03,FR,Pomiar opóźnienia e2e,Konsument MUSI mierzyć opóźnienie od znacznika czasu rekordu (CreateTime) do odbioru; bez deserializacji ładunku.,E2EConsumer,e2e,series.json (kolumny e2e_*) w każdym biegu,done,Ważność e2e ograniczona lagiem konsumenta (NFR-02).
FR-04,FR,Wzór Kingmana na żywo,Dashboard MUSI co 1 s liczyć rho; W_q; przewidywane opóźnienie ACK i e2e oraz błąd bezwzględny i względny wobec pomiaru.,KingmanEngine; Tick; charts.js,unit;e2e,KingmanEngineTest; series.json (pred_*; err_*),done,Parametry z profilu (mu; tau; c²) per konfiguracja.
FR-05,FR,Widok wiadomości w brokerach,Dashboard MUSI pokazywać liczbę wiadomości przechowywanych na każdym brokerze w podziale na tematy i rolę repliki (lider/replika).,ClusterInspector; ClusterSnapshot; charts.js,unit;e2e,ClusterSnapshotTest; zrzuty dash-brokers-*.png,done,Źródło: AdminClient listOffsets(earliest/latest) + describeTopics.
FR-06,FR,Widok liderów partycji,Dashboard MUSI pokazywać przydział liderów partycji do brokerów i stan ISR.,ClusterInspector; charts.js,e2e,zrzut dash-leaders-*.png,done,
FR-07,FR,Historia w Grafanie,Grafana MUSI pokazywać w czasie stan (całkę) i tempo (pochodną) strumienia wiadomości per broker i temat oraz per partycja i lider.,deploy_jmx_v2.yml; thesis-v2-cluster-live.json,review;e2e,prom/prom_msgs_in_broker.json; prom/prom_leaders.json (puste),partial,Per broker/temat działa (MessagesIn). Metryki per partycja (kafka_log_*; kafka_cluster_partition_*) nie pojawiły się w Prometheusie w żadnym biegu — panele per partycja/lider bez danych.
FR-08,FR,Zapis i eksport biegu,System MUSI trwale zapisywać manifest; serię 1 Hz i raporty ACK każdego biegu oraz udostępniać je przez HTTP do analizy.,RunStore (SQLite WAL); DashboardApp (API /api/runs),unit;e2e,RunStoreTest; collect_run_artifacts.sh; results/*/run*/,done,Format wejściowy pipeline'u analizy (loaders.py).
FR-09,FR,Kalibracja profilu,System MUSI wyznaczać profil (mu; tau_ack; tau_e2e; c_a²; c_s²) z zapisanych biegów i przechowywać bibliotekę profili z aktywnym profilem per konfiguracja.,RunController (from-runs); RunStore (profiles); calibration.js,unit;e2e,RunStoreTest; analysis/output/profiles.json; tab-calibration.csv,done,Mediana ± SD z >=3 biegów; fallback Poissona dla c_a² udokumentowany.
FR-10,FR,Tryb 1 i 3 brokerów,Infrastruktura MUSI umożliwiać przełączenie klastra KRaft między kworum 1 węzła a 3 węzłów bez ponownej instalacji.,ansible/kraft_reconfigure.yml; gcloud/stop_brokers.sh,e2e,results/E*/1b-rf1 i results/E*/3b-*; RUNBOOK-v2.md,done,Wymaga formatu metadanych (brak KIP-853 w Kafka 3.7).
FR-11,FR,Eksport metryk aplikacji,Dashboard MUSI wystawiać metryki Kingmana i konsumenta w formacie Prometheus.,PrometheusExporter; update_monitoring_v2.yml,e2e,prom/prom_kingman.json w biegach,done,Job dashboard_v2 na 10.0.0.2:8080.
FR-12,FR,Kolektor artefaktów,System MUSI zbierać dla każdego biegu manifest; serie; raporty ACK oraz stały zestaw zapytań zakresowych Prometheus do katalogu wyników.,gcloud/collect_run_artifacts.sh,e2e,results/*/run*/prom/*.json; window.env; config.env,done,15 zapytań PromQL; okno start-30 s .. stop+60 s.
FR-13,FR,Tworzenie tematów per konfiguracja,Skrypt MUSI tworzyć tematy z RF i min.insync.replicas właściwymi dla konfiguracji i odmawiać przy niezgodności.,gcloud/create_topics.sh,e2e,reports/2026-09-12-3b-rf3-final.md (weryfikacja liderów/ISR),done,3 tematy x 6 partycji + control-metrics.
NFR-01,NFR,Reprodukowalność biegu,Każdy bieg MUSI mieć manifest z parametrami; epokami start/stop; profilem i podsumowaniem; scenariusze powtarzane 3 razy.,RunManifest; RunSummary,e2e;measurement,tab-run-census.csv; tab-time-budget.csv,done,
NFR-02,NFR,Wiarygodność pomiaru,Konsument NIE MOŻE fałszować pomiaru: brak deserializacji JSON; lag konsumenta rejestrowany i flaga consumerLimited w podsumowaniu.,E2EConsumer; RunSummary,review;measurement,tab-e2-ladder-*.csv (kolumny consumer_limited; lag_start),done,e2e wyłączane z walidacji przy lag>100k (backlog).
NFR-03,NFR,Odtwarzalność środowiska,Środowisko MUSI być odtwarzalne z kodu (Terraform; Ansible; gcloud) addytywnie względem infrastruktury v1.,terraform/; ansible/; gcloud/,review,RUNBOOK-v2.md; reports/2026-09-08-infra-siec-serverless.md,done,Własny stan Terraform (podsieć + firewall); zero zmian w stanie v1.
NFR-04,NFR,Automatyzacja wdrożeń,Zmiana w kodzie dashboardu MUSI przechodzić bramkę testów i być wdrażana automatycznie bez zdalnych komend z CI.,.github/workflows/deploy-dashboard.yml; thesis-deploy-agent.sh,review,reports/2026-09-08-cicd-iap.md,done,Model pull: CI odkłada jar do inboxu; agent systemd wykonuje podmianę i health-check.
NFR-05,NFR,Obserwowalność,Metryki brokerów (JMX) i aplikacji MUSZĄ być zbierane co 5 s do Prometheusa i prezentowane w Grafanie.,deploy_jmx_v2.yml; update_monitoring_v2.yml; dashboardy Grafany,review;e2e,monitoring_node/grafana/*.json; prom/*.json w biegach,done,
NFR-06,NFR,Bezpieczny dostęp serwisowy,Dostęp CI do maszyn MUSI odbywać się tunelem IAP kontem serwisowym; sekrety poza repozytorium.,allow-ssh-iap; SA github-deployer; GitHub Secrets,review,reports/2026-09-08-cicd-iap.md,done,Role konta świadomie szerokie (do zawężenia).
NFR-07,NFR,Koszt,System NIE MOŻE wymagać nowych VM poza istniejącymi; brokery e2-small; producenci rozliczani per inwokacja.,terraform (v1 read-only); Cloud Functions gen2,review,experiment-plan.md §8; reports/2026-09-09-omb-kampania.md,done,Brokery przeskalowane w dół, by saturacja była osiągalna.
NFR-08,NFR,Źródło obciążenia silniejsze od klastra,Generator obciążenia MUSI móc doprowadzić klaster do saturacji (sygnatura po stronie brokera) — inaczej mu nie jest mierzalne.,Cloud Functions x P; Direct VPC egress,measurement,tab-e4r-ladder.csv (cpu_busy_max; disk); tab-omb-profile.csv (kontrprzykład),done,Spełnione dla 1b-rf1 (CPU 0.9); dla 3b-rf1 plateau bez pełnej sygnatury (dolne ograniczenie mu).
AC-01,AC,Bieg z dashboardu,Po kliknięciu Start powstaje manifest z runId; wszystkie P inwokacje odpowiadają 200 a wynik ma status completed.,FR-01,e2e,run.json (invocations[].httpStatus),done,
AC-02,AC,Zgodność histogramów,Percentyle scalone z raportów 1 s zgadzają się z percentylami histogramu całego biegu zwracanego przez funkcję.,FR-02,unit,AckAggregatorTest; ReportSerializationTest,done,
AC-04,AC,Kingman 1 Hz,Każdy tick serii ma wypełnione rho; wq_ms; pred_*; err_* gdy profil jest kompletny.,FR-04,e2e,series.json biegów E2,done,
